subject,big_1,small_1_1,small_1_2,small_1_3,big_2,small_2_1,small_2_2,small_2_3,big_3,small_3_1,small_3_2,small_3_3,big_4,small_4_1,small_4_2,small_4_3,big_5,small_5_1,small_5_2,small_5_3,big_6,small_6_1,small_6_2,small_6_3,big_7,small_7_1,small_7_2,small_7_3,big_8,small_8_1,small_8_2,small_8_3,big_9,small_9_1,small_9_2,small_9_3,big_10,small_10_1,small_10_2,small_10_3
1001,0.131733041,0.165416621,0.170690586,0.102688238,0.116603981,0.134008869,0.190067427,0.650185196,0.090370552,0.172861044,0.146773908,0.163947593,0.132295087,0.152759261,0.155309884,0.08832682,0.10434547,0.164701875,0.140754041,0.102637748,0.159636556,0.122077078,0.153306656,0.090786048,0.16085642,0.170238041,0.24367015,0.292402653,0.268581415,0.139177264,0.100671709,0.057720278,0.158028163,0.185886377,0.091727169,0.076969402,0.159622058,0.191888455,0.080525615,0.104928913
1002,0.135048286,0.067178422,0.108677842,0.091439057,0.118186167,0.115149244,0.116052312,0.066298094,0.180238604,0.137465942,0.113016118,0.099954968,0.146261026,0.1359221,0.079281899,0.092097846,0.171716948,0.116616038,0.222326339,0.127980691,0.285932621,0.24773734,0.118641227,0.115113098,0.188844954,0.117945248,0.128613793,0.162691697,0.166046903,0.134196948,0.148264589,0.083278541,0.118558096,0.061964892,0.147848208,0.109888971,0.090679093,0.156770039,0.091025189,0.264109775
1003,0.123399347,0.119444189,0.108707269,0.089765549,0.131052642,0.099636054,0.084602136,0.083178221,0.07670827,0.112152812,0.104619868,0.15574417,0.096860685,0.169450034,0.102020667,0.066493286,0.13342216,0.109662437,0.115073901,0.104289796,0.148540353,0.171728111,0.075166296,0.090432682,0.097093793,0.164323451,0.117257929,0.11856086,0.128807612,0.079133295,0.106599191,0.116044657,0.194247399,0.189883936,0.090287918,0.115327101,0.132877686,0.081121084,0.154319084,0.128320906
1004,0.157132958,0.083056822,0.106195492,0.098339623,0.111825747,0.113191222,0.112124519,0.08836784,0.108259385,0.095937747,0.086894944,0.100819001,0.15204033,0.0858807,0.115047542,0.150993444,0.117735839,0.123416508,0.077164893,0.099235102,0.204284417,0.078313939,0.125639806,0.202115076,0.297774615,0.125172784,0.147694576,0.174392032,0.171669068,0.125078979,0.142790213,0.082188698,0.156344733,0.119943815,0.124659613,0.112839369,0.091094742,0.117407607,0.087414528,0.146276866
1005,0.246562086,0.192656548,0.117562607,0.148955864,0.22558313,0.10651623,0.132271246,0.143568311,0.148545985,0.14019959,0.102244686,0.361701753,0.32167207,0.130692126,0.126368933,0.10615396,0.283526698,0.22787865,0.148324534,0.16987582,0.309963869,0.182929218,0.105676404,0.183017762,0.197110924,0.067827357,0.140822472,0.174276307,0.229936674,0.182288416,0.134278956,0.204576187,0.179116514,0.154477214,0.162223036,0.16109313,0.212620544,0.141448187,0.140163073,0.219853516
1006,0.141076617,0.125014245,0.101872092,0.096088629,0.095371029,0.129281323,0.098363567,0.145810674,0.119946632,0.104161635,0.132411885,0.094165846,0.210101141,0.110353135,0.136576687,0.119027852,0.203339502,0.108893962,0.112336322,0.104014653,0.140153739,0.117398117,0.112501036,0.083814393,0.141310922,0.072538124,0.086090451,0.096915219,0.098478455,0.198085974,0.100005295,0.088945408,0.107395079,0.154088105,0.10011146,0.088543393,0.154087672,0.113988209,0.119802924,0.127206218
1009,0.132651646,0.283934269,0.155338669,0.181228825,0.111363919,0.124738516,0.110090566,0.187225947,0.091864787,0.225099395,0.151785656,0.180953883,0.087749839,0.191686923,0.264336904,0.162350306,0.121441133,0.261540172,0.123243871,0.134899439,0.109110635,0.191033231,0.179728416,0.195268987,0.092280788,0.203080801,0.128078276,0.102064873,0.061224072,0.130527727,0.1407434,0.165981138,0.112192672,0.165836195,0.111345689,0.118850104,0.065775546,0.15949254,0.14523756,0.156939139
2001,0.199840346,0.128509499,0.162880074,0.114855596,0.146783279,0.128919508,0.1113112,0.179322203,0.228781952,0.230768071,0.139014365,0.140703224,0.149223419,0.120768899,0.148335546,0.076908109,0.269790816,0.175391378,0.11671374,0.153368861,0.205918097,0.172287195,0.1072521,0.182008737,0.134352003,0.234295625,0.148113957,0.259137723,0.098045124,0.095916471,0.12883261,0.180270597,0.112312394,0.128160569,0.16247591,0.113428077,0.166006446,0.121981248,0.196021954,0.124275845
2002,0.091655251,0.113856535,0.129372391,0.106622534,0.048680984,0.062540927,0.080998152,0.084893833,0.095660613,0.094503937,0.055623445,0.089441422,0.091094807,0.087290883,0.091298173,0.051398517,0.074365012,0.102778544,0.087169136,0.130573078,0.117817536,0.106879932,0.096847889,0.087054451,0.075890064,0.120112528,0.079464876,0.070906771,0.142539776,0.138181461,0.067379646,0.111371398,0.11248296,0.224038225,0.107245494,0.06613776,0.131952461,0.116026998,0.091602865,0.132016638
2004,0.202399014,0.154578638,0.229356372,0.105843119,0.121640458,0.116439082,0.148598054,0.14797042,0.233325176,0.141366188,0.452436708,0.120378533,0.185279613,0.205752789,0.105008299,0.330118121,0.18882089,0.153777838,0.139830694,0.223661266,0.116548285,0.114652884,0.30316058,0.137873953,0.140174084,0.172441751,0.154187038,0.180928505,0.164896091,0.197766341,0.177684187,0.180236851,0.195087665,0.099553719,0.154964927,0.144326844,0.100648008,0.193864179,0.128981519,0.144761775
